Tag,Keyword,Attribute name,VR,Field name of a table,Type,Size if settings
00020000,FileMetaInformationGroupLength,File Meta Information Group Length,UL,file_meta_information_group_length,String,32
00020001,FileMetaInformationVersion,File Meta Information Version,OB,file_meta_information_version,String,64
00020002,MediaStorageSOPClassUID,Media Storage SOP Class UID,UI,media_storage_sop_class_uid,String,512
00020003,MediaStorageSOPInstanceUID,Media Storage SOP Instance UID,UI,media_storage_sop_instance_uid,String,512
00020010,TransferSyntaxUID,Transfer Syntax UID,UI,transfer_syntax_uid,String,512
00020012,ImplementationClassUID,Implementation Class UID,UI,implementation_class_uid,String,512
00020013,ImplementationVersionName,Implementation Version Name,SH,implementation_version_name,String,128
00020016,SourceApplicationEntityTitle,Source Application Entity Title,AE,source_application_entity_title,String,128
00020100,PrivateInformationCreatorUID,Private Information Creator UID,UI,private_information_creator_uid,String,512
00020102,PrivateInformation,Private Information,OB,private_information,String,64
00041130,FileSetID,File-set ID,CS,file_set_id,String,128
00041141,FileSetDescriptorFileID,File-set Descriptor File ID,CS,file_set_descriptor_file_id,String,128
00041142,SpecificCharacterSetOfFileSetDescriptorFile,Specific Character Set of File-set Descriptor File,CS,specific_character_set_of_file_set_descriptor_file,String,128
00041200,OffsetOfTheFirstDirectoryRecordOfTheRootDirectoryEntity,Offset of the First Directory Record of the Root Directory Entity,UL,offset_of_the_first_directory_record_of_the_root_directory_entity,String,32
00041202,OffsetOfTheLastDirectoryRecordOfTheRootDirectoryEntity,Offset of the Last Directory Record of the Root Directory Entity,UL,offset_of_the_last_directory_record_of_the_root_directory_entity,String,32
00041212,FileSetConsistencyFlag,File-set Consistency Flag,US,file_set_consistency_flag,String,16
00041220,DirectoryRecordSequence,Directory Record Sequence,SQ,directory_record_sequence,String,128
00041400,OffsetOfTheNextDirectoryRecord,Offset of the Next Directory Record,UL,offset_of_the_next_directory_record,String,32
00041410,RecordInUseFlag,Record In-use Flag,US,record_in_use_flag,String,16
00041420,OffsetOfReferencedLowerLevelDirectoryEntity,Offset of Referenced Lower-Level Directory Entity,UL,offset_of_referenced_lower_level_directory_entity,String,32
00041430,DirectoryRecordType,Directory Record Type,CS,directory_record_type,String,128
00041432,PrivateRecordUID,Private Record UID,UI,private_record_uid,String,512
00041500,ReferencedFileID,Referenced File ID,CS,referenced_file_id,String,128
00041504,MRDRDirectoryRecordOffset,MRDR Directory Record Offset,UL,mrdr_directory_record_offset,String,32
00041510,ReferencedSOPClassUIDInFile,Referenced SOP Class UID in File,UI,referenced_sop_class_uid_in_file,String,512
00041511,ReferencedSOPInstanceUIDInFile,Referenced SOP Instance UID in File,UI,referenced_sop_instance_uid_in_file,String,512
00041512,ReferencedTransferSyntaxUIDInFile,Referenced Transfer Syntax UID in File,UI,referenced_transfer_syntax_uid_in_file,String,512
0004151A,ReferencedRelatedGeneralSOPClassUIDInFile,Referenced Related General SOP Class UID in File,UI,referenced_related_general_sop_class_uid_in_file,String,512
00041600,NumberOfReferences,Number of References,UL,number_of_references,String,32
00080001,LengthToEnd,Length to End,UL,length_to_end,String,32
00080005,SpecificCharacterSet,Specific Character Set,CS,specific_character_set,String,128
00080006,LanguageCodeSequence,Language Code Sequence,SQ,language_code_sequence,String,128
00080008,ImageType,Image Type,CS,image_type,String,128
00080010,RecognitionCode,Recognition Code,SH,recognition_code,String,128
00080012,InstanceCreationDate,Instance Creation Date,DA,instance_creation_date,String,64
00080013,InstanceCreationTime,Instance Creation Time,TM,instance_creation_time,String,128
00080014,InstanceCreatorUID,Instance Creator UID,UI,instance_creator_uid,String,512
00080015,InstanceCoercionDateTime,Instance Coercion DateTime,DT,instance_coercion_datetime,String,208
00080016,SOPClassUID,SOP Class UID,UI,sop_class_uid,String,512
00080018,SOPInstanceUID,SOP Instance UID,UI,sop_instance_uid,String,512
0008001A,RelatedGeneralSOPClassUID,Related General SOP Class UID,UI,related_general_sop_class_uid,String,512
0008001B,OriginalSpecializedSOPClassUID,Original Specialized SOP Class UID,UI,original_specialized_sop_class_uid,String,512
00080020,StudyDate,Study Date,DA,study_date,String,64
00080021,SeriesDate,Series Date,DA,series_date,String,64
00080022,AcquisitionDate,Acquisition Date,DA,acquisition_date,String,64
00080023,ContentDate,Content Date,DA,content_date,String,64
00080024,OverlayDate,Overlay Date,DA,overlay_date,String,64
00080025,CurveDate,Curve Date,DA,curve_date,String,64
0008002A,AcquisitionDateTime,Acquisition DateTime,DT,acquisition_datetime,String,208
00080030,StudyTime,Study Time,TM,study_time,String,128
00080031,SeriesTime,Series Time,TM,series_time,String,128
00080032,AcquisitionTime,Acquisition Time,TM,acquisition_time,String,128
00080033,ContentTime,Content Time,TM,content_time,String,128
00080034,OverlayTime,Overlay Time,TM,overlay_time,String,128
00080035,CurveTime,Curve Time,TM,curve_time,String,128
00080040,DataSetType,Data Set Type,US,data_set_type,String,16
00080041,DataSetSubtype,Data Set Subtype,LO,data_set_subtype,String,512
00080042,NuclearMedicineSeriesType,Nuclear Medicine Series Type,CS,nuclear_medicine_series_type,String,128
00080050,AccessionNumber,Accession Number,SH,accession_number,String,128
00080051,IssuerOfAccessionNumberSequence,Issuer of Accession Number Sequence,SQ,issuer_of_accession_number_sequence,String,128
00080052,QueryRetrieveLevel,Query/Retrieve Level,CS,query_retrieve_level,String,128
00080053,QueryRetrieveView,Query/Retrieve View,CS,query_retrieve_view,String,128
00080054,RetrieveAETitle,Retrieve AE Title,AE,retrieve_ae_title,String,128
00080055,StationAETitle,Station AE Title,AE,station_ae_title,String,128
00080056,InstanceAvailability,Instance Availability,CS,instance_availability,String,128
00080058,FailedSOPInstanceUIDList,Failed SOP Instance UID List,UI,failed_sop_instance_uid_list,String,512
00080060,Modality,Modality,CS,modality,String,128
00080061,ModalitiesInStudy,Modalities in Study,CS,modalities_in_study,String,128
00080062,SOPClassesInStudy,SOP Classes in Study,UI,sop_classes_in_study,String,512
00080063,AnatomicRegionsInStudyCodeSequence,Anatomic Regions in Study Code Sequence,SQ,anatomic_regions_in_study_code_sequence,String,128
00080064,ConversionType,Conversion Type,CS,conversion_type,String,128
00080068,PresentationIntentType,Presentation Intent Type,CS,presentation_intent_type,String,128
00080070,Manufacturer,Manufacturer,LO,manufacturer,String,512
00080080,InstitutionName,Institution Name,LO,institution_name,String,512
00080081,InstitutionAddress,Institution Address,ST,institution_address,Text
00080082,InstitutionCodeSequence,Institution Code Sequence,SQ,institution_code_sequence,String,128
00080090,ReferringPhysicianName,Referring Physician's Name,PN,referring_physician_s_name,String,512
00080092,ReferringPhysicianAddress,Referring Physician's Address,ST,referring_physician_s_address,Text
00080094,ReferringPhysicianTelephoneNumbers,Referring Physician's Telephone Numbers,SH,referring_physician_s_telephone_numbers,String,128
00080096,ReferringPhysicianIdentificationSequence,Referring Physician Identification Sequence,SQ,referring_physician_identification_sequence,String,128
0008009C,ConsultingPhysicianName,Consulting Physician's Name,PN,consulting_physician_s_name,String,512
0008009D,ConsultingPhysicianIdentificationSequence,Consulting Physician Identification Sequence,SQ,consulting_physician_identification_sequence,String,128
00080100,CodeValue,Code Value,SH,code_value,String,128
00080101,ExtendedCodeValue,Extended Code Value,LO,extended_code_value,String,512
00080102,CodingSchemeDesignator,Coding Scheme Designator,SH,coding_scheme_designator,String,128
00080103,CodingSchemeVersion,Coding Scheme Version,SH,coding_scheme_version,String,128
00080104,CodeMeaning,Code Meaning,LO,code_meaning,String,512
00080105,MappingResource,Mapping Resource,CS,mapping_resource,String,128
00080106,ContextGroupVersion,Context Group Version,DT,context_group_version,String,208
00080107,ContextGroupLocalVersion,Context Group Local Version,DT,context_group_local_version,String,208
00080108,ExtendedCodeMeaning,Extended Code Meaning,LT,extended_code_meaning,Text
00080109,CodingSchemeResourcesSequence,Coding Scheme Resources Sequence,SQ,coding_scheme_resources_sequence,String,128
0008010A,CodingSchemeURLType,Coding Scheme URL Type,CS,coding_scheme_url_type,String,128
0008010B,ContextGroupExtensionFlag,Context Group Extension Flag,CS,context_group_extension_flag,String,128
0008010C,CodingSchemeUID,Coding Scheme UID,UI,coding_scheme_uid,String,512
0008010D,ContextGroupExtensionCreatorUID,Context Group Extension Creator UID,UI,context_group_extension_creator_uid,String,512
0008010E,CodingSchemeURL,Coding Scheme URL,UR,coding_scheme_url,String,64
0008010F,ContextIdentifier,Context Identifier,CS,context_identifier,String,128
00080110,CodingSchemeIdentificationSequence,Coding Scheme Identification Sequence,SQ,coding_scheme_identification_sequence,String,128
00080112,CodingSchemeRegistry,Coding Scheme Registry,LO,coding_scheme_registry,String,512
00080114,CodingSchemeExternalID,Coding Scheme External ID,ST,coding_scheme_external_id,Text
00080115,CodingSchemeName,Coding Scheme Name,ST,coding_scheme_name,Text
00080116,CodingSchemeResponsibleOrganization,Coding Scheme Responsible Organization,ST,coding_scheme_responsible_organization,Text
00080117,ContextUID,Context UID,UI,context_uid,String,512
00080118,MappingResourceUID,Mapping Resource UID,UI,mapping_resource_uid,String,512
00080119,LongCodeValue,Long Code Value,UC,long_code_value,String,64
00080120,URNCodeValue,URN Code Value,UR,urn_code_value,String,64
00080121,EquivalentCodeSequence,Equivalent Code Sequence,SQ,equivalent_code_sequence,String,128
00080122,MappingResourceName,Mapping Resource Name,LO,mapping_resource_name,String,512
00080123,ContextGroupIdentificationSequence,Context Group Identification Sequence,SQ,context_group_identification_sequence,String,128
00080124,MappingResourceIdentificationSequence,Mapping Resource Identification Sequence,SQ,mapping_resource_identification_sequence,String,128
00080201,TimezoneOffsetFromUTC,Timezone Offset From UTC,SH,timezone_offset_from_utc,String,128
00080220,ResponsibleGroupCodeSequence,Responsible Group Code Sequence,SQ,responsible_group_code_sequence,String,128
00080221,EquipmentModality,Equipment Modality,CS,equipment_modality,String,128
00080222,ManufacturerRelatedModelGroup,Manufacturer's Related Model Group,LO,manufacturer_s_related_model_group,String,512
00080300,PrivateDataElementCharacteristicsSequence,Private Data Element Characteristics Sequence,SQ,private_data_element_characteristics_sequence,String,128
00080301,PrivateGroupReference,Private Group Reference,US,private_group_reference,String,16
00080302,PrivateCreatorReference,Private Creator Reference,LO,private_creator_reference,String,512
00080303,BlockIdentifyingInformationStatus,Block Identifying Information Status,CS,block_identifying_information_status,String,128
00080304,NonidentifyingPrivateElements,Nonidentifying Private Elements,US,nonidentifying_private_elements,String,16
00080306,IdentifyingPrivateElements,Identifying Private Elements,US,identifying_private_elements,String,16
00080305,DeidentificationActionSequence,Deidentification Action Sequence,SQ,deidentification_action_sequence,String,128
00080307,DeidentificationAction,Deidentification Action,CS,deidentification_action,String,128
00080308,PrivateDataElement,Private Data Element,US,private_data_element,String,16
00080309,PrivateDataElementValueMultiplicity,Private Data Element Value Multiplicity,UL,private_data_element_value_multiplicity,String,32
0008030A,PrivateDataElementValueRepresentation,Private Data Element Value Representation,CS,private_data_element_value_representation,String,128
0008030B,PrivateDataElementNumberOfItems,Private Data Element Number of Items,UL,private_data_element_number_of_items,String,32
0008030C,PrivateDataElementName,Private Data Element Name,UC,private_data_element_name,String,64
0008030D,PrivateDataElementKeyword,Private Data Element Keyword,UC,private_data_element_keyword,String,64
0008030E,PrivateDataElementDescription,Private Data Element Description,UT,private_data_element_description,Text
0008030F,PrivateDataElementEncoding,Private Data Element Encoding,UT,private_data_element_encoding,Text
00080310,PrivateDataElementDefinitionSequence,Private Data Element Definition Sequence,SQ,private_data_element_definition_sequence,String,128
00081000,NetworkID,Network ID,AE,network_id,String,128
00081010,StationName,Station Name,SH,station_name,String,128
00081030,StudyDescription,Study Description,LO,study_description,String,512
00081032,ProcedureCodeSequence,Procedure Code Sequence,SQ,procedure_code_sequence,String,128
0008103E,SeriesDescription,Series Description,LO,series_description,String,512
0008103F,SeriesDescriptionCodeSequence,Series Description Code Sequence,SQ,series_description_code_sequence,String,128
00081040,InstitutionalDepartmentName,Institutional Department Name,LO,institutional_department_name,String,512
00081041,InstitutionalDepartmentTypeCodeSequence,Institutional Department Type Code Sequence,SQ,institutional_department_type_code_sequence,String,128
00081048,PhysiciansOfRecord,Physician(s) of Record,PN,physicians_of_record,String,512
00081049,PhysiciansOfRecordIdentificationSequence,Physician(s) of Record Identification Sequence,SQ,physicians_of_record_identification_sequence,String,128
00081050,PerformingPhysicianName,Performing Physician's Name,PN,performing_physician_s_name,String,512
00081052,PerformingPhysicianIdentificationSequence,Performing Physician Identification Sequence,SQ,performing_physician_identification_sequence,String,128
00081060,NameOfPhysiciansReadingStudy,Name of Physician(s) Reading Study,PN,name_of_physicians_reading_study,String,512
00081062,PhysiciansReadingStudyIdentificationSequence,Physician(s) Reading Study Identification Sequence,SQ,physicians_reading_study_identification_sequence,String,128
00081070,OperatorsName,Operators' Name,PN,operators_name,String,512
00081072,OperatorIdentificationSequence,Operator Identification Sequence,SQ,operator_identification_sequence,String,128
00081080,AdmittingDiagnosesDescription,Admitting Diagnoses Description,LO,admitting_diagnoses_description,String,512
00081084,AdmittingDiagnosesCodeSequence,Admitting Diagnoses Code Sequence,SQ,admitting_diagnoses_code_sequence,String,128
00081090,ManufacturerModelName,Manufacturer's Model Name,LO,manufacturer_s_model_name,String,512
00081100,ReferencedResultsSequence,Referenced Results Sequence,SQ,referenced_results_sequence,String,128
00081110,ReferencedStudySequence,Referenced Study Sequence,SQ,referenced_study_sequence,String,128
